Sensitivity_Type,Scenario,Shock,District,Predicted_Average_Price_Growth,Predicted_Median_Price_Growth,Average_Growth_Change,Median_Growth_Change
Both,-10%,-0.1,SUTTON,0.04642789104059625,0.03601564180154971,0.009053404344214713,0.008298144286069925
Both,-10%,-0.1,TOWER HAMLETS,-0.02325888380219322,0.005466503672294401,0.011819486012281336,0.012892820475549023
Both,-10%,-0.1,WALTHAM FOREST,0.030823200028220053,0.026281106232981827,0.010498287954054018,0.005377036268281846
Both,-10%,-0.1,WANDSWORTH,0.002444146055623902,0.005272076835140455,0.01368452335616704,0.029565976921062078
Individuals_only,-5%,-0.05,BARKING AND DAGENHAM,0.026866292822627966,0.04612419310401417,0.001951682762384055,0.00048452054162364394
Individuals_only,-5%,-0.05,BARNET,-0.004167039756173076,0.008270615270647725,0.003912679794074808,0.0
Individuals_only,-5%,-0.05,BEXLEY,0.018629017071904612,0.0242261826944167,0.0025467219518357093,0.005050911283761849
Individuals_only,-5%,-0.05,BRENT,0.00351827965157589,0.015816353984136187,0.0032989240294378558,0.0006578176333720282
Individuals_only,-5%,-0.05,BROMLEY,0.00999131597876731,0.021306593189359437,0.0035019011496035223,0.0008000401444333699
Individuals_only,-5%,-0.05,CAMDEN,-0.004107907427206315,-0.02826234527056831,0.002146613339878334,5.10710791095173e-05
Individuals_only,-5%,-0.05,CITY OF LONDON,0.019175444205230728,-0.029827067986726588,0.00019195494136417524,0.0
Individuals_only,-5%,-0.05,CITY OF WESTMINSTER,-0.05949028553965426,-0.03654621116055184,0.0019670715551516477,0.0063535132000246825
Individuals_only,-5%,-0.05,CROYDON,0.033565111668610516,0.023699776972268792,0.004003797645988183,0.0
Individuals_only,-5%,-0.05,EALING,0.009666885016875914,0.017785396928413622,0.003583053261578154,0.00039305250943211245
Individuals_only,-5%,-0.05,ENFIELD,0.0384136242210876,0.02133789110451166,0.0028621217743138097,9.457097411332688e-05
Individuals_only,-5%,-0.05,GREENWICH,-0.0034158946877946602,0.01035167284481932,0.002985038435996377,-0.00010205090509552914
Individuals_only,-5%,-0.05,HACKNEY,-0.0031334398296894213,0.0024874091051461287,0.0022594938323646403,0.0010647193466696405
Individuals_only,-5%,-0.05,HAMMERSMITH AND FULHAM,-0.01916820142272232,-7.414804463314724e-05,0.0019150243338461569,0.01996491690129838
Individuals_only,-5%,-0.05,HARINGEY,0.033792448699142594,0.01201826105119574,0.002503918570579411,0.0004776016943984097
Individuals_only,-5%,-0.05,HARROW,0.0007750605557360472,0.013039845394821177,0.002652365838112081,0.000620664770541136
Individuals_only,-5%,-0.05,HAVERING,0.021548487078001343,0.026187176860568605,0.0025629735030078885,0.004213499338460332
Individuals_only,-5%,-0.05,HILLINGDON,0.006322737023213936,0.019625944714013986,0.003132675767067603,3.469446951953614e-18
Individuals_only,-5%,-0.05,HOUNSLOW,-0.0023623715296191713,0.01798963042123021,0.002873760209118599,0.0
